Asset,OS,IP,MAC,TPM,IsLaptop,Domain
FC43a4aa0f,Windows 10,239.196.19.238,000e858c-394e-4a32-b436-e5f442310340,1,0,Fomacose
FC7f00c0b5,Windows XP,36.95.72.254,0091b512-357c-435e-93a9-8020fba9cdac,1,1,Workgroup
FC81f03a61,Windows Server 2016,12.4.182.236,00cb17e6-9d0c-4fe2-b6dd-b53cbf71b9f9,2,1,Montoso
FC252dcdff,Windows Server 2016,208.11.200.114,00dc5ca9-0776-43b7-866e-e5562185f014,2.2,1,Contaso
FC6791bd16,Windows 7,235.26.184.179,01810c64-8157-4563-a523-14e62b79cfa6,1.3,0,Workgroup
FCf59e0e61,Windows Server 2016,135.23.51.49,01dc3d0f-df8d-4fff-85e1-4f1c0ee60565,1,0,Workgroup
FCdef59e13,Windows 7,18.206.148.243,02991a35-7a79-4beb-b310-773195385de5,1.3,0,Workgroup
FC9c392b4a,Windows 10,25.9.59.31,0378c3e4-fad7-4c21-8973-0965a18abb3b,1,0,Workgroup
FCf4b924b2,Windows Server 2012,235.194.114.189,0431f0eb-b2f8-49ab-baee-9e79c2bd7daa,2,1,Dev-Contiso
FC38054b62,Windows 10,32.131.72.185,043f2908-edf9-49f8-bc68-79c3c15af5af,1,0,Contaso
FC1e132f86,Windows 7,243.141.128.240,045cd3f6-88aa-459f-a1a6-30c38913d360,1.3,0,Workgroup
FCfde7f1fc,Windows 10,203.151.14.192,053c9f95-30b9-4af7-8566-ae8fcaa8526a,1,1,Workgroup
FCd35a25db,Windows Server 2012,138.0.97.29,0584302b-f659-4ab5-b43c-87d9face95de,1.3,1,Workgroup
FC9466d758,Windows 7,181.175.224.21,05d4863b-21b6-43f4-bf9c-219764d16f3d,2,1,Workgroup
FCdd14169b,Windows 7,106.132.112.52,06dfe33d-126a-4a48-9e3e-b65045160a36,1.3,0,Workgroup
FC74f8bf52,Windows 10,237.111.163.3,06e17249-c561-4a44-9c4f-ba3f433d3fe4,1,1,Workgroup
FC80455dfb,Windows 7,49.200.158.192,08ce0e67-c88f-40a3-8d5d-aec34a73636e,2,1,Workgroup
FC8b005477,Windows 10,251.132.64.56,094a1c68-c949-4106-ab53-59fe2481e907,2.2,0,Workgroup
